"objective_1","objective_2"
"-735.4283735895456","736.0752216592576"
"-696.4620588518029","697.1088291994208"
"-679.6056598424582","680.2505345473998"
"-646.8453760339952","647.4956598470395"
"-595.3297689836694","595.980375140952"
"-550.862090213144","551.5018670618767"
"-498.5267251517299","499.17561018979325"
"-449.6343446583213","450.2747386928444"
"-394.65417392443226","395.2893368356628"
"-340.88063052454106","341.5262976197948"
"-294.1592017290527","294.80064056630107"
"-248.58813554810368","249.23707582343178"
"-204.22388053907633","204.8724245227855"
"-157.1027225215927","157.7386669420408"
"-113.22074474645339","113.86125017135846"
"-75.19839030434935","75.84726779084303"
"-50.807850673035475","51.4511155404233"
"-34.16610597798528","34.81381950907237"
"-22.910562336600897","23.55628661073206"
"-15.892782283140292","16.540329958559045"
"-11.53577685736381","12.18403978058733"
"-8.276867303513745","8.919804476884357"
"-6.175605928755171","6.835777059384895"
"-4.6463609671328445","5.290789716893251"
"-3.5105115316479605","4.154537218367436"
"-2.714367986106849","3.361461019828795"
"-2.0790636746158286","2.72042291710398"
"-1.626185441694083","2.2650341219542183"
"-1.259471787736015","1.9065485769481398"
"-0.9843714722172756","1.6351905277396923"
"-0.7664621275206933","1.4033795490006469"
"-0.6023502967834485","1.241506953792441"
"-0.47646079484277665","1.1135924375311332"
"-0.37579756533865877","1.0162522001417074"
"-0.29901249950468767","0.9340634053774011"
"-0.23652955411203677","0.8798486056544335"
"-0.18195477620180042","0.8274966093358443"
"-0.1386981285923426","0.7778312827951595"
"-0.10537255769960865","0.7546466098997143"
"-0.07959877699161524","0.7272894318615272"
"-0.060477331856264985","0.7003459736319428"
"-0.04595349262706065","0.6936235882573442"
"-0.026088511718725726","0.6738388546816907"
"-0.019434553858050662","0.6654177167127557"
"-0.014464113050885885","0.6624203507650066"
"-0.0033370426724047774","0.6598607719819484"
"-0.0007664268546022868","0.6542469280370142"
"-0.00001953906576090958","0.6529919681744104"
"-0.000011723439456545748","0.6498937333828962"
"-0.000007815626304363832","0.6414091177174669"
